"Issue Type","Summary","Epic Name","Epic Link","Description","Labels","Labels","Labels","Story Points","Priority","GENERATED FILE - DO NOT HAND-EDIT - source of truth: orbital_drift.planning.roadmap_data - regenerate: python -m orbital_drift.projections --write"
"Epic","E0 Substrate","E0 Substrate","","Phase 0: repo+CI scaffold, host prep, k3s, GPU operator, platform charts, bring-up. Exit: plan.md Phase-0 gate.","","","","","Highest",""
"Epic","E1 Ingestion and Data Lifecycle","E1 Ingestion and Data Lifecycle","","Phase 1 (US1, US2): STAC client, tile store, catalog, lakeFS flow, ingest DAG. Exit: plan.md Phase-1 gate.","","","","","High",""
"Epic","E2 Training and Registry","E2 Training and Registry","","Phase 2 (US3): labels, dataset, baseline+finetune training, MLflow registry. Exit: plan.md Phase-2 gate.","","","","","High",""
"Epic","E3 CT Loop","E3 CT Loop","","Phase 3 (US4, US5): drift metrics, trigger, drift/retrain DAGs, shadow eval, promotion. Exit: plan.md Phase-3 gate.","","","","","High",""
"Epic","E4 Serving and Canary","E4 Serving and Canary","","Phase 4 (US6): FastAPI stage-loader, canary split, per-version metrics. Exit: plan.md Phase-4 gate.","","","","","Medium",""
"Epic","E5 Observability and Soak","E5 Observability and Soak","","Phase 5 (US7, US8): dashboards, alerts, runbooks, rebuild drill, 6-week soak. Exit: plan.md Phase-5 gate, operator sign-off only.","","","","","High",""
"Epic","E6 Reconciliation and Integration Hardening","E6 Reconciliation and Integration Hardening","","Phase 6 (RB-012): defects found in already-remediated code, RB-010 findings assigned to no part, adapter convergence, gate integrity. Exit: T057 complete and roadmap Tracks A-E closed.","","","","","High",""
"Epic","E7 Operator and Decision Gates","E7 Operator and Decision Gates","","Operator-side critical path: HUMAN tasks, phase gates G-x, DEC sign-offs (Constitution I/VI).","","","","","Highest",""
"Story","S0.2 Host-prep runbook (driver+CUDA, Blackwell)","","E0 Substrate","AC: docs/runbooks/00-host-prep.md merged with pinned driver/operator versions and verification block. Trace: T002.","orbital-drift","runbook","","3","Highest",""
"Story","S0.1a Coverage gate plus CI defect fixes","","E0 Substrate","AC: the coverage stage enforces FR-011a as one combined statement+branch rate, threshold pinned in ci/versions.env, with positive controls proving it fails a run whose tests all pass. Trace: T001a.","orbital-drift","infra","","5","High",""
"Story","S0.1b terraform fmt pre-commit hook","","E0 Substrate","AC: FR-011b canonical Terraform formatting runs as a pre-commit hook and in the hooks CI stage against a digest-pinned image, with positive, negative and guard-the-guard controls. Trace: T001b.","orbital-drift","infra","","3","Medium",""
"Story","S0.3 Execute host prep on node A","","E7 Operator and Decision Gates","AC: runbook verification block filled with measured driver/CUDA versions; G-1 logged. Owner story. Trace: T003.","orbital-drift","owner","","","Highest",""
"Story","S0.4 k3s install runbook","","E0 Substrate","AC: docs/runbooks/01-k3s-install.md merged (single node, GPU labels, nvidia runtime). Trace: T004.","orbital-drift","runbook","","3","High",""
"Story","S0.4a containerd config-v3 template","","E0 Substrate","AC: infra/k3s/config-v3.toml.tmpl encodes the nvidia containerd runtime stanza and keeps the NRI plugin off, per D-000/D-02b. Trace: T004a.","orbital-drift","infra","","3","High",""
"Story","S0.5 Install k3s on node A","","E7 Operator and Decision Gates","AC: k3s up per runbook; kubeconfig location note committed; G-2 logged. Owner story. Trace: T005.","orbital-drift","owner","","","Highest",""
"Story","S0.6 GPU Operator values + Terraform","","E0 Substrate","AC: pinned infra/helm-values/gpu-operator.yaml + infra/terraform/gpu_operator.tf; AUTHORED-PROVISIONAL until re-reviewed against T003/T005 verification blocks. Trace: T006.","orbital-drift","infra","","5","High",""
"Story","S0.7 SeaweedFS + lakeFS + CloudNativePG infra","","E0 Substrate","AC: pinned values + Terraform releases under infra/ per D-000/D-04+D-05. Trace: T007.","orbital-drift","infra","","5","High",""
"Story","S0.8 MLflow infra","","E0 Substrate","AC: pinned values + Terraform; community chart 1.11.4 per D-000/D-05b; S3 artifact store on SeaweedFS. Trace: T008.","orbital-drift","infra","","3","High",""
"Story","S0.9 Airflow infra","","E0 Substrate","AC: official chart, KubernetesExecutor, git-sync DAG deployment; pinned values + Terraform. Trace: T009.","orbital-drift","infra","","3","High",""
"Story","S0.10 Argo Workflows infra","","E0 Substrate","AC: pinned values + Terraform; GPU RBAC + training-namespace service account. Trace: T010.","orbital-drift","infra","","3","High",""
"Story","S0.11 Platform bring-up runbook","","E0 Substrate","AC: docs/runbooks/02-platform-bringup.md with per-component validation; requires T006-T010 review-APPROVED. Trace: T011.","orbital-drift","runbook","","3","High",""
"Story","S0.12 Apply platform on cluster","","E7 Operator and Decision Gates","AC: plan.md Phase-0 gate demonstrated (nvidia-smi in pod, Airflow UI, Argo GPU hello-world, lakeFS repo, MLflow UI); G-3 logged. Owner story. Trace: T012.","orbital-drift","owner","","","Highest",""
"Story","S1.1 STAC client contract tests (failing)","","E1 Ingestion and Data Lifecycle","AC: AOI query, pagination, band resolution tests exist against recorded fixtures and fail before implementation. Trace: T013.","orbital-drift","tdd","","3","High",""
